Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
3116,True,77,40,10,20,1,3,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4378,True,60,28,19,14,1,2,1,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4339,True,82,35,7,6,2,4,4,1,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6384,True,70,29,10,12,3,3,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3062,True,60,37,18,11,1,5,3,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3038,True,74,46,9,15,1,1,2,1,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
912,True,51,33,13,13,3,0,5,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1904,True,70,33,10,14,1,2,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4828,True,63,40,16,14,0,1,2,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3742,True,67,56,10,18,2,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1462,True,50,32,10,16,2,1,2,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2976,True,67,51,12,11,2,2,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2050,True,63,39,11,16,0,4,2,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3989,True,75,45,9,5,2,2,3,0,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2269,True,62,27,16,12,3,4,2,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1846,True,72,52,14,11,1,2,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4402,True,67,38,12,10,0,0,3,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2790,True,56,34,20,14,1,2,3,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
