Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
3220,False,263,179,45,41,7,12,12,7,4,1,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1
4593,False,298,154,58,56,9,10,8,4,0,1,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4168,False,303,144,42,44,6,13,8,0,3,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4873,False,263,180,40,51,9,7,6,6,5,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
5687,False,315,133,52,51,6,17,10,5,1,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4400,False,278,169,56,51,10,10,8,5,0,1,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
2914,False,306,152,53,49,6,13,5,1,1,2,290,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3874,False,250,165,55,48,3,8,6,2,1,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2989,False,271,162,55,51,9,14,8,3,2,1,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
6246,False,271,174,51,54,6,12,11,3,2,1,231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2326,False,307,168,44,48,7,14,12,4,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8197,False,283,157,55,46,7,6,13,4,0,1,274,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0
6627,False,287,150,53,46,5,6,13,3,2,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3604,False,269,168,51,53,4,9,13,2,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4283,False,284,169,53,57,12,7,10,1,3,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
11804,False,252,161,42,50,9,11,12,1,2,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4347,False,303,139,49,47,6,15,9,6,0,1,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
4971,False,281,183,42,49,6,6,14,7,2,1,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2833,False,270,184,46,56,11,10,8,5,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3465,False,279,174,45,51,7,14,9,3,1,0,293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
3504,False,291,149,48,35,5,13,13,1,1,0,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
3061,False,268,202,59,42,5,17,11,2,2,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3443,False,295,191,45,47,7,13,6,2,0,0,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5852,False,285,169,51,62,8,10,13,2,0,0,284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2957,False,255,175,52,48,7,11,8,3,3,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3371,False,271,133,64,38,4,16,13,1,1,0,279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
2932,False,285,162,50,45,4,11,9,4,0,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
3927,False,295,160,46,40,5,10,9,4,3,1,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
2847,False,294,142,48,42,9,5,7,1,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
4602,False,280,186,42,55,9,15,11,4,3,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
4328,False,277,141,60,53,3,13,6,4,1,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3734,False,279,113,59,63,6,11,6,6,0,1,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
4646,False,262,171,41,49,11,12,11,1,2,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
9206,False,281,172,51,48,5,18,10,2,0,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6466,False,297,160,42,55,8,10,8,2,0,1,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,False,276,174,61,50,3,7,14,2,3,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
4844,False,275,178,45,54,4,15,13,4,0,1,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
5554,False,283,160,50,43,2,19,6,2,2,3,273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3614,False,304,156,49,52,4,11,17,2,2,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
3308,False,287,159,60,45,3,8,6,5,0,1,298,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7142,False,295,151,50,38,6,8,13,2,0,3,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4079,False,323,160,58,44,6,11,11,2,0,0,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4890,False,252,167,50,43,1,10,12,5,0,1,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3305,False,278,166,49,67,5,6,7,2,1,1,258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
6882,False,283,159,42,47,3,12,7,3,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2002,False,260,149,55,44,8,8,9,4,4,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1
4956,False,295,174,51,51,5,12,12,4,1,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4408,False,281,170,37,36,7,12,11,3,0,1,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
4009,False,282,186,66,54,8,7,9,5,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
8534,False,256,149,62,60,16,11,10,1,2,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1843,False,299,198,37,47,7,17,16,4,1,0,278,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
3438,False,259,149,47,50,9,8,9,1,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7395,False,278,168,43,44,4,12,10,1,2,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
14366,False,294,127,53,54,6,15,8,4,0,2,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3854,False,301,144,61,53,4,9,6,4,1,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
4120,False,286,168,50,40,10,6,8,3,2,1,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3336,False,249,177,52,40,8,19,8,0,0,1,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
5324,False,268,186,47,59,7,10,8,2,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5084,False,266,156,56,54,5,8,7,0,2,1,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
4065,False,287,166,47,35,4,16,13,1,4,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
5219,False,277,153,55,51,4,4,3,2,3,1,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
6231,False,315,168,54,47,4,15,10,4,0,0,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
7206,False,266,138,48,44,11,9,17,1,0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5052,False,295,153,48,43,5,18,7,3,1,1,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2581,False,295,148,52,50,10,16,10,1,0,1,260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
4002,False,272,177,55,52,12,14,6,5,0,1,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4063,False,253,186,48,48,6,6,8,2,0,1,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2350,False,282,168,49,37,3,4,15,3,1,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3767,False,272,177,57,47,8,11,8,3,0,0,277,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2
4458,False,269,136,42,39,8,11,12,8,0,0,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3832,False,280,158,56,48,8,7,5,4,0,1,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
5910,False,290,150,57,48,7,15,6,3,1,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
6149,False,295,152,48,35,9,6,9,1,4,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3223,False,277,142,48,53,12,9,13,3,1,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4543,False,282,136,48,47,7,13,5,5,4,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
