Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
3519,True,108,60,12,20,3,2,6,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3915,True,91,52,15,14,5,5,2,0,1,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,True,109,80,16,18,3,3,4,2,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3595,True,105,61,19,15,0,3,5,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,True,98,58,20,15,6,2,5,2,1,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9906,True,104,47,23,17,2,5,5,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3101,True,101,49,24,18,3,7,3,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5604,True,99,70,16,16,2,4,6,2,1,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
4999,True,127,42,19,18,2,4,3,3,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,True,104,46,23,23,2,3,1,2,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,True,97,62,14,10,10,6,3,3,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2953,True,108,52,23,15,4,4,4,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6650,True,99,56,19,10,4,3,2,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2134,True,115,64,17,14,1,1,3,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2923,True,94,47,19,16,3,5,5,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6713,True,88,54,18,20,1,7,2,0,0,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2283,True,106,59,16,24,2,2,5,1,0,1,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3580,True,108,47,11,14,2,7,8,1,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4134,True,100,57,16,18,2,5,3,1,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4168,True,86,52,24,18,0,5,4,2,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6704,True,88,72,26,28,3,1,3,2,0,0,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
