Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
2453,False,91,30,15,10,2,3,2,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1220,False,86,58,16,10,0,3,4,1,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2089,False,79,37,8,10,0,2,2,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3397,False,75,35,7,12,3,6,1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2861,False,64,37,13,7,1,6,2,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2809,False,70,44,11,10,2,4,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1848,False,75,51,19,8,1,2,2,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,False,65,43,6,19,2,1,6,2,0,0,75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
1280,False,77,57,14,13,3,1,2,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1953,False,78,45,13,15,1,2,4,0,1,0,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2106,False,73,33,18,16,1,5,3,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2418,False,56,57,10,11,1,1,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1387,False,70,40,12,8,1,6,2,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3378,False,66,48,8,12,0,0,2,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2524,False,66,49,11,10,3,2,1,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,False,75,44,12,15,0,2,3,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,False,66,43,14,21,3,0,3,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,False,77,40,10,20,1,4,3,1,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2981,False,90,39,16,11,2,2,1,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,False,84,35,16,14,2,3,5,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2691,False,67,40,14,11,1,3,2,2,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
